file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,176,3,"Tumov - Maškovy zahrady, výzkum 1998, Discount- Plus",ces_Latn,0.8812,498.05,Noisy
CTX199904249,176,4,Plocha:,vie_Latn,0.5906,355.85,Noisy
CTX199904249,176,6,Číslo objektu:,ces_Latn,0.9104,3244.15,Trash
CTX199904249,176,8,Popis objektu:,bos_Latn,0.3233,1935.95,Trash
CTX199904249,176,9,"zahloubený objekt nepravidelného elipsovitého půdorysu, délka 0,86 m, Šířka 0,49 m, hloubka",ces_Latn,0.9836,523.67,Trash
CTX199904249,176,10,"0.1 m. nepravidelný U profil, nerovně dno",ces_Latn,0.9986,706.84,Trash
CTX199904249,176,11,Výplň 1:,slk_Latn,0.9931,805.68,Trash
CTX199904249,176,12,středně ulehlá okrově rezavá pisčitojil ovitá hlína,ces_Latn,1.0000,283.73,Noisy
CTX199904249,176,13,Výplň 2:,slk_Latn,0.9901,801.93,Trash
CTX199904249,176,14,Výplň 3:,slk_Latn,0.9878,861.15,Trash
CTX199904249,176,15,Výplň 4:,slk_Latn,0.9870,865.03,Trash
CTX199904249,176,16,Výplň 5:,slk_Latn,0.9910,889.01,Trash
CTX199904249,176,17,Keramika,deu_Latn,0.6508,2460.52,Trash
CTX199904249,176,18,Kameny,ces_Latn,0.9966,26273.05,Trash
CTX199904249,176,19,Mazanice,vie_Latn,0.7063,3399.67,Trash
CTX199904249,176,20,Kosti,slk_Latn,0.7623,1733.73,Trash
CTX199904249,176,22,Stříbro,ces_Latn,1.0000,963.69,Trash
CTX199904249,176,23,Broušená Industrie,ces_Latn,0.9023,3715.39,Trash
CTX199904249,176,24,Štipaná industrie,slk_Latn,0.9247,8563.41,Trash
CTX199904249,176,25,Sklo,lit_Latn,0.9975,11048.30,Trash
CTX199904249,176,26,Uhlíky,ces_Latn,1.0000,16162.50,Trash
CTX199904249,176,27,Vzorek výplně,ces_Latn,1.0000,290.54,Noisy
CTX199904249,176,28,Datace 1:,ces_Latn,0.9169,2227.91,Trash
CTX199904249,176,29,Datace 3:,ces_Latn,0.8633,2374.71,Trash
CTX199904249,176,30,Datace 5:,ces_Latn,0.8565,3308.11,Trash
CTX199904249,176,31,Přírůstkové číslo:,ces_Latn,1.0000,297.53,Noisy
